"","naMean_EOO","naMean_AOO","naZero_EOO","naZero_AOO","naNA_EOO","naNA_AOO"
"691",55372.9,264,56718.2,256,50765.3,248
"692",62218.7,264,63690.4,264,57937.1,256
"693",52030.5,260,62059.5,256,55361.2,248
"694",55306.7,260,62291.5,256,56572.4,248
"695",58373.6,260,63474.4,260,55585.9,252
"696",65104.9,264,68135,256,58347.3,248
"697",48798.6,264,57707.7,264,52310.3,256
"698",56133.4,256,60671,264,52521.2,256
"699",65429.5,260,50304.2,264,41820.8,256
"700",64148.5,260,54387.5,264,47279.5,256
"701",49148.7,260,50589.8,260,40437.9,252
"702",60174,260,58320.9,260,53174.8,252
"703",61054.2,264,59105.7,260,50926,252
"704",62105.4,260,59570.9,264,53318.7,256
"705",66809.1,260,59543.9,264,55315.1,256
"706",68370.4,264,58606.9,260,53341.9,252
"707",57250.2,260,57876.8,260,46812.6,252
"708",59907.6,260,57448.5,264,50600.5,256
"709",62830.9,264,51406.1,256,48292.9,248
"710",56499.4,260,55818.8,256,48026.6,248
"711",62051.9,260,60551.1,260,55558.7,252
"712",65356,260,53027.2,256,44027.4,248
"713",62036.4,260,62693.2,256,52742.4,248
"714",61589.1,260,61782.5,264,55861.3,256
"715",67260.9,252,66818.3,256,61309.2,248
"716",44221.4,260,51674.8,260,44563.9,252
"717",55011.1,264,60298.8,256,52439,248
"718",65400.5,252,62473.6,264,56262.6,256
"719",52976,256,55155.1,252,47963.5,244
"720",56340.8,264,65192.4,256,55743.1,248
"721",66025.8,264,59432.8,260,46844.5,252
"722",62737.7,260,61930.3,260,53976,252
"723",56889.3,260,57668.5,264,47802.3,256
"724",64642.2,260,57766.9,256,53400.1,248
"725",61166.9,260,62426.5,256,53895.6,248
"726",53790.2,260,61779.7,260,51962.8,252
"727",57506,260,60314.8,260,52599.8,252
"728",55866.2,260,61112.4,256,54221.9,248
"729",59380.6,256,60735.6,256,57184.4,248
"730",54513.3,264,53866.5,264,45151.9,256
"731",67303.7,260,61501.7,260,52912.1,252
"732",55288.1,264,58185.3,260,48593.8,252
"733",67938.5,264,60483,260,52089,252
"734",50362.2,264,58218.7,264,48870.1,256
"735",54249.1,248,60751,260,54551.6,252
"736",63620.1,256,58206.8,260,53005.6,252
"737",47297,252,63953.8,260,57160.5,252
"738",51712,252,61560.9,260,54159.7,252
"739",62904.7,260,57513.4,260,51094.9,252
"740",56945,256,54965.4,256,48167.9,248
"741",52253.2,260,59277.3,260,51652.7,252
"742",48381.1,256,62543.1,264,52663.9,256
"743",53452,256,56838.4,256,52666.7,248
"744",58600.1,252,59204.1,256,53104.6,248
"745",63519.4,264,63358.6,260,56929,252
"746",56556,260,51327.1,260,45772,252
"747",58477,260,65948.4,252,57250,244
"748",57827.4,256,61261.6,264,53914.9,256
"749",62946.5,264,62971.4,256,55875.5,248
"750",58028,256,62352.7,256,53835.9,248
"751",60554.3,260,54135.1,260,48302.6,252
"752",57867.1,256,47383.1,260,40712,252
"753",66556.6,260,64150.3,256,52959.4,248
"754",63384.6,264,61389.5,260,53978.5,252
"755",62311,264,61749.5,256,56066.7,248
"756",61061.5,264,65179.6,256,57462.5,248
"757",51101.1,264,65138.3,260,60239.9,252
"758",46502.3,256,57427.7,252,52418.2,244
"759",60749.3,264,51400.6,260,45049.8,252
"760",61708.7,260,53888.7,256,49219.2,248
"761",61279.4,260,57400.9,256,52291.4,248
"762",56635.1,260,60784.7,260,52814.5,252
"763",55269.9,260,52255.5,260,48489,252
