"","naMean_EOO","naMean_AOO","naZero_EOO","naZero_AOO","naNA_EOO","naNA_AOO"
"295",599048.1,276,598442,264,70037.8,16
"296",598991.8,272,598187.2,264,70516.4,16
"297",598141.8,272,598219,264,70448.7,16
"298",599041.7,276,598276.1,264,69857.8,16
"299",598071.2,280,598386.3,268,70812.4,16
"300",598431.9,280,598084.8,264,69938.5,16
"301",598363.5,268,598052.8,260,69781,12
"302",597428.5,272,598188,264,69580.9,16
"303",597249.9,280,598376.1,264,70059,16
"304",598194.8,272,598115.3,264,70615.5,16
"305",598646.3,276,598128.6,264,70380.8,16
"306",598357.3,268,598571.4,268,70649.6,20
"307",598439.3,268,598315.9,264,70682.8,16
"308",598559.2,276,598343,268,70279.7,16
"309",597814.1,276,597963.4,264,70111.8,16
"310",599272.5,280,598229.9,264,70221,12
"311",598125.7,268,598110.3,264,70333.8,16
"312",598384,268,598472.7,264,70317.1,12
"313",598921.8,268,598440.9,268,70413.2,16
"314",598812.1,280,598429.2,264,69925,16
"315",598524.2,260,598506.8,264,70353.9,16
"316",598003.6,272,598191.6,260,69809.8,12
"317",597216.6,268,598470.8,264,70741,16
"318",598247.5,280,598435.4,268,70490.8,20
"319",597618.5,268,598337.8,264,70426.8,16
"320",598352.4,272,598101.1,264,70081,16
"321",598578.2,272,598266.7,260,69896.3,12
"322",598053.5,268,598140.7,264,70326.3,16
"323",598156.9,276,597933.3,264,69951.3,16
"324",598180.7,272,598149.9,264,69880.1,16
"325",597480.4,272,598342.3,268,70158.3,12
"326",599077.8,264,598316.1,268,70609.3,16
"327",598517.5,276,598240.1,264,70383.7,16
"328",598797.8,268,598393.8,268,70483.5,16
"329",598202.3,268,598435.7,268,70115.6,16
"330",598232.5,268,598081.4,260,69827.4,12
"331",598162.3,276,598308.8,268,69994.7,16
"332",598562.9,276,598482.1,264,70333.4,12
"333",598135.1,276,598336.4,264,70246.3,16
"334",597843.4,272,598325.1,264,69945.2,12
"335",598019,276,598305.4,260,69895.8,12
"336",598424.8,268,598431.4,268,70598.5,16
"337",599142.1,276,598366.2,264,70126.2,16
"338",598823.3,268,598086,264,70450.1,16
"339",598223.2,260,598574.3,268,70772.4,16
"340",598585.5,264,598301.4,264,69895.3,16
"341",598049.6,268,598425.1,268,70691,20
"342",598797.1,272,598211.3,260,70047.6,12
"343",598365.4,272,598389.5,264,70416.7,16
"344",598085,276,598250,264,69622.9,16
"345",598688.2,280,598490.4,264,70159.8,16
"346",598276,284,598186.6,268,70248,20
"347",597365.1,264,598408.3,268,70386.8,16
"348",599245.4,260,598360.4,268,70184.3,16
"349",598744.2,276,598437.4,264,70168.6,16
"350",598605.5,268,598156.7,264,70082.7,16
"351",598443.4,272,598374.9,268,70538.1,20
"352",598619.5,276,598457.7,264,69839.8,16
"353",598732.3,268,597948.7,264,70164.7,16
"354",598841.1,272,598480.8,268,70422,20
"355",598373.2,284,598419.5,264,70658.6,16
"356",599070,272,598049.3,264,70062.3,16
"357",598192.2,272,598174.6,264,69989.5,16
"358",598567.5,276,598354.4,264,70013.2,16
"359",598773.4,268,598529.9,268,70759,20
"360",598622.3,268,598295.4,264,70052.8,12
"361",598287.6,268,598423.1,264,69992.3,16
"362",597397.5,272,598361,264,70055.6,12
"363",599422.9,272,598450.1,264,69937,16
"364",598699.9,272,598284.5,264,70332.4,12
"365",599115.1,272,598372.4,264,70223.4,16
"366",598862,276,598395.5,268,70564,20
"367",597886.3,272,598466.1,264,70296.6,20
"368",598614.8,268,598405.1,264,69717.2,16
"369",598784.2,268,598126.6,264,70260.3,16
"370",597401.3,276,598145.8,264,70437.3,16
