"";"latitude";"longitude";"coordinateUncertaintyInMeters";"species"
"152";4,9136;-73,7276;NA;"Tremarctos ornatus"
"153";4,9136;-73,7276;NA;"Tremarctos ornatus"
"154";4,9136;-73,7276;NA;"Tremarctos ornatus"
"155";4,9161;-73,7305;NA;"Tremarctos ornatus"
"156";4,9161;-73,7305;NA;"Tremarctos ornatus"
"157";4,9161;-73,7305;NA;"Tremarctos ornatus"
"158";4,9161;-73,7305;NA;"Tremarctos ornatus"
"159";4,9161;-73,7305;NA;"Tremarctos ornatus"
"160";4,9161;-73,7305;NA;"Tremarctos ornatus"
"161";4,9161;-73,7305;NA;"Tremarctos ornatus"
"162";4,9154;-73,7284;NA;"Tremarctos ornatus"
"163";4,9154;-73,7284;NA;"Tremarctos ornatus"
"164";4,9136;-73,7276;NA;"Tremarctos ornatus"
"165";4,9144;-73,7279;NA;"Tremarctos ornatus"
"166";4,9144;-73,7279;NA;"Tremarctos ornatus"
"167";4,9144;-73,7279;NA;"Tremarctos ornatus"
"168";4,9144;-73,7279;NA;"Tremarctos ornatus"
"169";4,9144;-73,7279;NA;"Tremarctos ornatus"
"170";4,9144;-73,7279;NA;"Tremarctos ornatus"
"171";4,9144;-73,7279;NA;"Tremarctos ornatus"
"172";4,9144;-73,7279;NA;"Tremarctos ornatus"
"173";4,9144;-73,7279;NA;"Tremarctos ornatus"
"174";4,9144;-73,7279;NA;"Tremarctos ornatus"
"175";4,9144;-73,7279;NA;"Tremarctos ornatus"
"176";4,9144;-73,7279;NA;"Tremarctos ornatus"
"177";4,9144;-73,7279;NA;"Tremarctos ornatus"
"178";4,9136;-73,7276;NA;"Tremarctos ornatus"
"179";4,9136;-73,7276;NA;"Tremarctos ornatus"
"180";4,9136;-73,7276;NA;"Tremarctos ornatus"
"181";4,9136;-73,7276;NA;"Tremarctos ornatus"
"182";4,9161;-73,7305;NA;"Tremarctos ornatus"
"183";4,9161;-73,7305;NA;"Tremarctos ornatus"
"184";4,9161;-73,7305;NA;"Tremarctos ornatus"
"185";4,9161;-73,7305;NA;"Tremarctos ornatus"
"186";4,9161;-73,7305;NA;"Tremarctos ornatus"
"187";4,9161;-73,7305;NA;"Tremarctos ornatus"
"188";4,9161;-73,7305;NA;"Tremarctos ornatus"
"189";4,9154;-73,7284;NA;"Tremarctos ornatus"
"190";4,9154;-73,7284;NA;"Tremarctos ornatus"
"191";4,9136;-73,7276;NA;"Tremarctos ornatus"
"192";3,649639;-75,943222;NA;"Tremarctos ornatus"
