"";"gbifID";"datasetKey";"kingdom";"phylum";"class";"order";"family";"genus";"species";"infraspecificEpithet";"taxonRank";"scientificName";"verbatimScientificName";"verbatimScientificNameAuthorship";"countryCode";"locality";"stateProvince";"occurrenceStatus";"individualCount";"publishingOrgKey";"decimalLatitude";"decimalLongitude";"coordinateUncertaintyInMeters";"elevation";"elevationAccuracy";"depth";"depthAccuracy";"eventDate";"day";"month";"year";"taxonKey";"speciesKey";"basisOfRecord";"institutionCode";"collectionCode";"catalogNumber";"recordNumber";"identifiedBy";"dateIdentified";"license";"rightsHolder";"recordedBy";"typeStatus";"establishmentMeans";"lastInterpreted";"mediaType";"issue"
"452";920665100;"6ac3f774-d9fb-4796-b3e9-92bf6c81c084";"Animalia";"Chordata";"Aves";"Psittaciformes";"Psittacidae";"Ara";"Ara ararauna";NA;"SPECIES";"Ara ararauna (Linnaeus, 1758)";"Ara ararauna";NA;"VE";"Lecheria und Cerro el Morro";NA;NA;NA;"bb646dff-a905-4403-a49b-6d378c2cf0d9";10,194769;-64,695068;250;NA;NA;NA;NA;2012-06-06 00:00:00;6;6;2012;5959231;5959231;"HUMAN_OBSERVATION";"naturgucker";"naturgucker";"-1832598621";NA;NA;NA;"CC_BY_4_0";NA;"-85323026";NA;NA;2020-03-01 11:56:36;NA;"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84"
"453";920664789;"6ac3f774-d9fb-4796-b3e9-92bf6c81c084";"Animalia";"Chordata";"Aves";"Psittaciformes";"Psittacidae";"Ara";"Ara ararauna";NA;"SPECIES";"Ara ararauna (Linnaeus, 1758)";"Ara ararauna";NA;"CO";"UTM50_18N_0600_0750";NA;NA;NA;"bb646dff-a905-4403-a49b-6d378c2cf0d9";7,009955;-73,868324;250;NA;NA;NA;NA;2011-08-19 00:00:00;19;8;2011;5959231;5959231;"HUMAN_OBSERVATION";"naturgucker";"naturgucker";"1689035195";NA;NA;NA;"CC_BY_4_0";NA;"-85323026";NA;NA;2020-03-01 11:56:41;NA;"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84"
"454";920661501;"6ac3f774-d9fb-4796-b3e9-92bf6c81c084";"Animalia";"Chordata";"Aves";"Psittaciformes";"Psittacidae";"Ara";"Ara ararauna";NA;"SPECIES";"Ara ararauna (Linnaeus, 1758)";"Ara ararauna";NA;"PE";"Papageienlecke (clay lick) am Rio Madre De Dios";NA;NA;NA;"bb646dff-a905-4403-a49b-6d378c2cf0d9";-12,451999;-70,660118;250;NA;NA;NA;NA;2008-07-22 00:00:00;22;7;2008;5959231;5959231;"HUMAN_OBSERVATION";"naturgucker";"naturgucker";"-173376503";NA;NA;NA;"CC_BY_4_0";NA;"-640879862";NA;NA;2020-03-01 11:56:40;NA;"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84"
"455";920653599;"6ac3f774-d9fb-4796-b3e9-92bf6c81c084";"Animalia";"Chordata";"Aves";"Psittaciformes";"Psittacidae";"Ara";"Ara ararauna";NA;"SPECIES";"Ara ararauna (Linnaeus, 1758)";"Ara ararauna";NA;"BR";"Pousada Aguapé, Aquidauana, Mato Grosso do Sul";NA;NA;NA;"bb646dff-a905-4403-a49b-6d378c2cf0d9";-20,095917;-55,965729;250;NA;NA;NA;NA;2013-08-06 00:00:00;6;8;2013;5959231;5959231;"HUMAN_OBSERVATION";"naturgucker";"naturgucker";"-225846192";NA;NA;NA;"CC_BY_4_0";NA;"105162832";NA;NA;2020-03-01 11:56:30;NA;"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84"
"456";920652231;"6ac3f774-d9fb-4796-b3e9-92bf6c81c084";"Animalia";"Chordata";"Aves";"Psittaciformes";"Psittacidae";"Ara";"Ara ararauna";NA;"SPECIES";"Ara ararauna (Linnaeus, 1758)";"Ara ararauna";NA;"BR";"Alta Floresta, Hotel Floresta Amazonica";NA;NA;NA;"bb646dff-a905-4403-a49b-6d378c2cf0d9";-9,877921;-56,097115;250;NA;NA;NA;NA;2013-08-15 00:00:00;15;8;2013;5959231;5959231;"HUMAN_OBSERVATION";"naturgucker";"naturgucker";"1571063613";NA;NA;NA;"CC_BY_4_0";NA;"794562383";NA;NA;2020-03-01 11:56:43;NA;"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84"
"457";920651501;"6ac3f774-d9fb-4796-b3e9-92bf6c81c084";"Animalia";"Chordata";"Aves";"Psittaciformes";"Psittacidae";"Ara";"Ara ararauna";NA;"SPECIES";"Ara ararauna (Linnaeus, 1758)";"Ara ararauna";NA;"BR";"Cristalino Jungle Lodge mit Umgebung";NA;NA;NA;"bb646dff-a905-4403-a49b-6d378c2cf0d9";-9,597601;-55,931152;250;NA;NA;NA;NA;2013-08-20 00:00:00;20;8;2013;5959231;5959231;"HUMAN_OBSERVATION";"naturgucker";"naturgucker";"-201069020";NA;NA;NA;"CC_BY_4_0";NA;"794562383";NA;NA;2020-03-01 11:56:30;NA;"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84"
"458";920646799;"6ac3f774-d9fb-4796-b3e9-92bf6c81c084";"Animalia";"Chordata";"Aves";"Psittaciformes";"Psittacidae";"Ara";"Ara ararauna";NA;"SPECIES";"Ara ararauna (Linnaeus, 1758)";"Ara ararauna";NA;"BR";"Hotel Fazenda do Betione, Bodoquena";NA;NA;NA;"bb646dff-a905-4403-a49b-6d378c2cf0d9";-20,552437;-56,641045;250;NA;NA;NA;NA;2013-08-14 00:00:00;14;8;2013;5959231;5959231;"HUMAN_OBSERVATION";"naturgucker";"naturgucker";"-833060925";NA;NA;NA;"CC_BY_4_0";NA;"105162832";NA;NA;2020-03-01 11:56:39;NA;"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84"
"459";920634804;"6ac3f774-d9fb-4796-b3e9-92bf6c81c084";"Animalia";"Chordata";"Aves";"Psittaciformes";"Psittacidae";"Ara";"Ara ararauna";NA;"SPECIES";"Ara ararauna (Linnaeus, 1758)";"Ara ararauna";NA;"BR";"Cristalino Jungle Lodge mit Umgebung";NA;NA;NA;"bb646dff-a905-4403-a49b-6d378c2cf0d9";-9,597601;-55,931152;250;NA;NA;NA;NA;2013-08-18 00:00:00;18;8;2013;5959231;5959231;"HUMAN_OBSERVATION";"naturgucker";"naturgucker";"-1721206536";NA;NA;NA;"CC_BY_4_0";NA;"794562383";NA;NA;2020-03-01 11:56:35;NA;"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84"
"460";920630017;"6ac3f774-d9fb-4796-b3e9-92bf6c81c084";"Animalia";"Chordata";"Aves";"Psittaciformes";"Psittacidae";"Ara";"Ara ararauna";NA;"SPECIES";"Ara ararauna (Linnaeus, 1758)";"Ara ararauna";NA;"BR";"Cristalino Jungle Lodge mit Umgebung";NA;NA;NA;"bb646dff-a905-4403-a49b-6d378c2cf0d9";-9,597601;-55,931152;250;NA;NA;NA;NA;2012-08-22 00:00:00;22;8;2012;5959231;5959231;"HUMAN_OBSERVATION";"naturgucker";"naturgucker";"2124377706";NA;NA;NA;"CC_BY_4_0";NA;"-640879862";NA;NA;2020-03-01 11:56:41;NA;"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84"
"461";920622463;"6ac3f774-d9fb-4796-b3e9-92bf6c81c084";"Animalia";"Chordata";"Aves";"Psittaciformes";"Psittacidae";"Ara";"Ara ararauna";NA;"SPECIES";"Ara ararauna (Linnaeus, 1758)";"Ara ararauna";NA;"GF";"UTM50_22N_0300_0550";NA;NA;NA;"bb646dff-a905-4403-a49b-6d378c2cf0d9";5,200085;-52,578938;250;NA;NA;NA;NA;2012-01-26 00:00:00;26;1;2012;5959231;5959231;"HUMAN_OBSERVATION";"naturgucker";"naturgucker";"1211763930";NA;NA;NA;"CC_BY_4_0";NA;"-1800734208";NA;NA;2020-03-01 11:56:41;NA;"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84"
