gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
1890032423	50c9509d-22c7-4a22-a47d-8c48425ef4a7	http://www.inaturalist.org/observations/1126619	Animalia	Chordata	Mammalia	Carnivora	Felidae	Leopardus	Leopardus wiedii		SPECIES	Leopardus wiedii (Schinz, 1821)	Leopardus wiedii		EC		Manabi			28eb1a3f-1c15-4a95-931a-4af90ecb574d	-1.003376	-80.842065	31448.0						2014-10-30T00:00:00	30	10	2014	2434950	2434950	HUMAN_OBSERVATION	iNaturalist	Observations	1126619			2014-12-11T15:15:24	CC_BY_NC_4_0	Fauna of Manabi	Fauna of Manabi			2020-05-15T09:47:03.029Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
1806320578	50c9509d-22c7-4a22-a47d-8c48425ef4a7	http://www.inaturalist.org/observations/1126631	Animalia	Chordata	Mammalia	Carnivora	Felidae	Leopardus	Leopardus wiedii		SPECIES	Leopardus wiedii (Schinz, 1821)	Leopardus wiedii		EC		Manabi			28eb1a3f-1c15-4a95-931a-4af90ecb574d	-1.001842	-80.860831	31448.0						2014-08-07T00:00:00	7	8	2014	2434950	2434950	HUMAN_OBSERVATION	iNaturalist	Observations	1126631			2014-12-11T15:24:15	CC_BY_NC_4_0	Fauna of Manabi	Fauna of Manabi			2020-05-15T09:47:33.325Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
1092879521	50c9509d-22c7-4a22-a47d-8c48425ef4a7	http://www.inaturalist.org/observations/1487505	Animalia	Chordata	Mammalia	Carnivora	Felidae	Leopardus	Leopardus wiedii		SPECIES	Leopardus wiedii (Schinz, 1821)	Leopardus wiedii		EC		Manabi			28eb1a3f-1c15-4a95-931a-4af90ecb574d	-1.717801	-80.645781	31444.0						2015-05-09T00:00:00	9	5	2015	2434950	2434950	HUMAN_OBSERVATION	iNaturalist	Observations	1487505			2015-05-14T14:13:21	CC_BY_NC_4_0	Fauna of Manabi	Fauna of Manabi			2020-05-15T09:47:13.827Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
1088920953	50c9509d-22c7-4a22-a47d-8c48425ef4a7	http://www.inaturalist.org/observations/1299095	Animalia	Chordata	Mammalia	Carnivora	Felidae	Leopardus	Leopardus wiedii		SPECIES	Leopardus wiedii (Schinz, 1821)	Leopardus wiedii		EC		Manabi			28eb1a3f-1c15-4a95-931a-4af90ecb574d	-1.492763	-80.735254	31446.0						2015-03-01T00:00:00	1	3	2015	2434950	2434950	HUMAN_OBSERVATION	iNaturalist	Observations	1299095			2015-03-17T15:55:22	CC_BY_NC_4_0	Fauna of Manabi	Fauna of Manabi			2020-05-15T09:47:04.156Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
1065605231	50c9509d-22c7-4a22-a47d-8c48425ef4a7	http://www.inaturalist.org/observations/1214222	Animalia	Chordata	Mammalia	Carnivora	Felidae	Leopardus	Leopardus wiedii		SPECIES	Leopardus wiedii (Schinz, 1821)	Leopardus wiedii		EC		Manabi			28eb1a3f-1c15-4a95-931a-4af90ecb574d	-1.093045	-80.854273	31448.0						2014-12-09T00:00:00	9	12	2014	2434950	2434950	HUMAN_OBSERVATION	iNaturalist	Observations	1214222			2015-02-05T19:53:45	CC_BY_NC_4_0	Fauna of Manabi	Fauna of Manabi			2020-05-15T09:47:47.477Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
1065584331	50c9509d-22c7-4a22-a47d-8c48425ef4a7	http://www.inaturalist.org/observations/1126646	Animalia	Chordata	Mammalia	Carnivora	Felidae	Leopardus	Leopardus wiedii		SPECIES	Leopardus wiedii (Schinz, 1821)	Leopardus wiedii		EC		Manabi			28eb1a3f-1c15-4a95-931a-4af90ecb574d	-1.044808	-80.967419	31448.0						2014-10-15T00:00:00	15	10	2014	2434950	2434950	HUMAN_OBSERVATION	iNaturalist	Observations	1126646			2014-12-11T15:42:02	CC_BY_NC_4_0	Fauna of Manabi	Fauna of Manabi			2020-05-15T09:47:41.493Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
1065584327	50c9509d-22c7-4a22-a47d-8c48425ef4a7	http://www.inaturalist.org/observations/1126636	Animalia	Chordata	Mammalia	Carnivora	Felidae	Leopardus	Leopardus wiedii		SPECIES	Leopardus wiedii (Schinz, 1821)	Leopardus wiedii		EC		Manabi			28eb1a3f-1c15-4a95-931a-4af90ecb574d	-1.035501	-80.976043	31448.0						2014-10-25T00:00:00	25	10	2014	2434950	2434950	HUMAN_OBSERVATION	iNaturalist	Observations	1126636			2014-12-11T15:28:40	CC_BY_NC_4_0	Fauna of Manabi	Fauna of Manabi			2020-05-15T09:47:28.728Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
1038341268	50c9509d-22c7-4a22-a47d-8c48425ef4a7	http://www.inaturalist.org/observations/1040475	Animalia	Chordata	Mammalia	Carnivora	Felidae	Leopardus	Leopardus wiedii		SPECIES	Leopardus wiedii (Schinz, 1821)	Leopardus wiedii		EC		Manabi			28eb1a3f-1c15-4a95-931a-4af90ecb574d	-1.537027	-80.752276	218842.0						2014-08-16T00:00:00	16	8	2014	2434950	2434950	HUMAN_OBSERVATION	iNaturalist	Observations	1040475			2014-10-27T14:28:29	CC_BY_NC_4_0	Fauna of Manabi	Fauna of Manabi			2020-05-15T09:47:45.517Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
1020747103	83964202-07d9-4a27-8391-975144bcc1da	UIS:UIS-MHN:UIS-MHN-M-0812	Animalia	Chordata	Mammalia	Carnivora	Felidae	Leopardus	Leopardus wiedii		SPECIES	Leopardus wiedii (Schinz, 1821)	Leopardus wiedii	Schinz, 1821	CO				1	6c147991-c3bf-453d-a778-3bea9a534804	4.26686	-72.994631	997594.0										2434950	2434950	PRESERVED_SPECIMEN	Universidad Industrial de Santander (UIS)	MHN-UIS	UIS-MHN-M-0812				CC_BY_NC_4_0	Universidad Industrial de Santander				2020-02-10T11:58:08.537Z		COORDINATE_ROUNDED
1020746957	83964202-07d9-4a27-8391-975144bcc1da	UIS:UIS-MHN:UIS-MHN-M-0694	Animalia	Chordata	Mammalia	Carnivora	Felidae	Leopardus	Leopardus wiedii		SPECIES	Leopardus wiedii (Schinz, 1821)	Leopardus wiedii	Schinz, 1821	CO				1	6c147991-c3bf-453d-a778-3bea9a534804	4.26686	-72.994631	997594.0										2434950	2434950	PRESERVED_SPECIMEN	Universidad Industrial de Santander (UIS)	MHN-UIS	UIS-MHN-M-0694				CC_BY_NC_4_0	Universidad Industrial de Santander				2020-02-10T11:58:08.752Z		COORDINATE_ROUNDED
