gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
2512662303	aeae59af-613f-444a-ae46-5a6de1374ed8	ABC:1792019:MA841	Animalia	Chordata	Mammalia	Carnivora	Felidae	Leopardus	Leopardus wiedii		SPECIES	Leopardus wiedii (Schinz, 1821)	Leopardus wiedii	(Schinz, 1821)	CO	El Palmar	Casanare		1	c803f6f5-2c6a-4b41-8c15-768d48ef1c8c	5.52125	-72.38553	11.0		1008.0				2019-09-17T00:00:00	17	9	2019	2434950	2434950	MACHINE_OBSERVATION	Asociación de Becarios de Casanare (ABC)						CC_BY_4_0		Antonio Quiñones			2020-02-10T09:36:04.746Z		
1949916704	4b99d5d8-5d62-4f17-89cc-b1bd3bc242ec	ColombiaBio:SINCHI:FAUNA:2017-1:1:4062_133-138	Animalia	Chordata	Mammalia	Carnivora	Felidae	Leopardus	Leopardus wiedii		SPECIES	Leopardus wiedii (Schinz, 1821)	Leopardus wiedii	"""Schinz, 1821"""	CO	"""PNR Camino Andakí, Sector quebrada La Profunda"""	Caquetá			9d77fdeb-100f-4b29-98ad-4effdd824457	1.672778	-75.907389	3.0		1267.0	0.0			2017-01-30T00:00:00	30	1	2017	2434950	2434950	MACHINE_OBSERVATION	Instituto Amazónico de Investigaciones Científicas SINCHI						CC_BY_NC_4_0		Javier Garcia Villalba			2020-02-10T11:16:29.956Z		COORDINATE_ROUNDED
1949916695	4b99d5d8-5d62-4f17-89cc-b1bd3bc242ec	ColombiaBio:SINCHI:FAUNA:2017-1:23:5124_013-042	Animalia	Chordata	Mammalia	Carnivora	Felidae	Leopardus	Leopardus wiedii		SPECIES	Leopardus wiedii (Schinz, 1821)	Leopardus wiedii	"""Schinz, 1821"""	CO	"""PNR Camino Andakí, Sector quebrada La Profunda"""	Caquetá			9d77fdeb-100f-4b29-98ad-4effdd824457	1.672056	-75.908333	3.0		1248.0	0.0			2017-01-28T00:00:00	28	1	2017	2434950	2434950	MACHINE_OBSERVATION	Instituto Amazónico de Investigaciones Científicas SINCHI						CC_BY_NC_4_0		Javier Garcia Villalba			2020-02-10T11:16:29.941Z		COORDINATE_ROUNDED
919436751	22a66350-7947-4a49-84a3-39c7c1b0881f	urn:catalog:MSU:MR:MR.14387	Animalia	Chordata	Mammalia	Carnivora	Felidae	Leopardus	Leopardus wiedii	pirrensis	SUBSPECIES	Felis wiedii pirrensis Goldman, 1914	Felis wiedii pirrensis		EC	Rio Verde	Esmeraldas	present		311e2740-f15a-11d8-b22f-b8a03c50a862	1.067	-79.417	1757.0						1966-02-28T00:00:00	28	2	1966	6164529	2434950	PRESERVED_SPECIMEN	MSU	MR	MR.14387				CC0_1_0		Senora Blanca Teran		NATIVE	2020-02-10T12:00:51.016Z		
919428346	22a66350-7947-4a49-84a3-39c7c1b0881f	urn:catalog:MSU:MR:MR.12187	Animalia	Chordata	Mammalia	Carnivora	Felidae	Leopardus	Leopardus wiedii	pirrensis	SUBSPECIES	Felis wiedii pirrensis Goldman, 1914	Felis wiedii pirrensis		EC	Rio Verde	Esmeraldas	present		311e2740-f15a-11d8-b22f-b8a03c50a862	1.067	-79.417	1757.0						1966-04-22T00:00:00	22	4	1966	6164529	2434950	PRESERVED_SPECIMEN	MSU	MR	MR.12187				CC0_1_0		Senora Blanca Teran		NATIVE	2020-02-10T12:00:46.406Z		
919425432	22a66350-7947-4a49-84a3-39c7c1b0881f	urn:catalog:MSU:MR:MR.14385	Animalia	Chordata	Mammalia	Carnivora	Felidae	Leopardus	Leopardus wiedii	pirrensis	SUBSPECIES	Felis wiedii pirrensis Goldman, 1914	Felis wiedii pirrensis		EC	Rio Verde	Esmeraldas	present		311e2740-f15a-11d8-b22f-b8a03c50a862	1.067	-79.417	1757.0						1967-07-20T00:00:00	20	7	1967	6164529	2434950	PRESERVED_SPECIMEN	MSU	MR	MR.14385				CC0_1_0		Senora Blanca Teran		NATIVE	2020-02-10T12:00:48.756Z		
